antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'herb & pepper'}),frozenset({'ground beef'}),0.04946007199040128,0.09825356619117451,0.015997866951073192,0.3234501347708895,3.2919938411349285,1.0,0.011138238493944044,1.3328602667054752,0.7324602618045816,0.12145748987854252,0.24973380557605593,0.24313619357269034
"frozenset({'ground beef', 'mineral water'})",frozenset({'spaghetti'}),0.040927876283162246,0.17411011865084655,0.017064391414478068,0.41693811074918563,2.3946805273580716,1.0,0.009938434018689522,1.416470355163073,0.6072616937725882,0.08619528619528619,0.2940198173897726,0.2574736495552973
"frozenset({'frozen vegetables', 'mineral water'})",frozenset({'milk'}),0.03572856952406346,0.12958272230369283,0.011065191307825623,0.3097014925373134,2.3899906332534853,1.0,0.006435386004880725,1.2609288130951908,0.6031375606115877,0.07173725151253242,0.2069338176631012,0.19754621951968548
frozenset({'soup'}),frozenset({'milk'}),0.05052659645380616,0.12958272230369283,0.015197973603519531,0.3007915567282322,2.3212319619531585,1.0,0.008650599686295217,1.2448609367807564,0.5994841780103165,0.0921584478577203,0.19669742181321334,0.2090377536727581
frozenset({'ground beef'}),frozenset({'spaghetti'}),0.09825356619117451,0.17411011865084655,0.03919477403012932,0.3989145183175034,2.291162176033379,1.0,0.022087833962715117,1.3739973872558149,0.6249431765609852,0.16809605488850773,0.2721965781920247,0.31201468641755725
"frozenset({'olive oil', 'mineral water'})",frozenset({'spaghetti'}),0.027596320490601255,0.17411011865084655,0.010265297960271964,0.3719806763285024,2.13646788142427,1.0,0.005460499325326592,1.3150708110713443,0.5470338545468789,0.053621169916434536,0.23958467363036265,0.21546966435108122
"frozenset({'eggs', 'ground beef'})",frozenset({'mineral water'}),0.019997333688841486,0.23836821757099053,0.010131982402346354,0.5066666666666667,2.125563012677107,1.0,0.005365253614764888,1.5438482076263709,0.5403418081320838,0.04081632653061225,0.3522679269502305,0.274586129753915
"frozenset({'milk', 'ground beef'})",frozenset({'mineral water'}),0.021997067057725635,0.23836821757099053,0.011065191307825623,0.503030303030303,2.1103077757440176,1.0,0.00582178964148601,1.5325517573266656,0.537969216013454,0.04438502673796792,0.3474934890653427,0.27472544234289203
frozenset({'red wine'}),frozenset({'spaghetti'}),0.028129582722303693,0.17411011865084655,0.010265297960271964,0.36492890995260663,2.095966120638976,1.0,0.005367652974892865,1.3004683952587415,0.5380275417312455,0.05347222222222222,0.23104628790226028,0.21194378116313334
frozenset({'olive oil'}),frozenset({'spaghetti'}),0.0658578856152513,0.17411011865084655,0.022930275963204905,0.3481781376518219,1.999758201015556,1.0,0.01146375168463962,1.267048451510813,0.5351857444880701,0.10565110565110565,0.2107641986321737,0.23993899225623253
"frozenset({'chocolate', 'ground beef'})",frozenset({'mineral water'}),0.023063591521130515,0.23836821757099053,0.010931875749900012,0.47398843930635837,1.988471634920019,1.0,0.005434248548222722,1.4479373446177872,0.508836803706465,0.04364023416711016,0.309362381102222,0.25992486842275414
"frozenset({'frozen vegetables', 'milk'})",frozenset({'mineral water'}),0.023596853752832957,0.23836821757099053,0.011065191307825623,0.46892655367231634,1.9672360621342533,1.0,0.0054404513384794925,1.434136441382284,0.5035549077796714,0.04410201912858661,0.30271627500368364,0.25767356766389865
"frozenset({'chocolate', 'milk'})",frozenset({'spaghetti'}),0.03212904946007199,0.17411011865084655,0.010931875749900012,0.34024896265560167,1.954217051209547,1.0,0.005337883136267961,1.2518205119820502,0.5044950614795404,0.05597269624573379,0.20116343323319907,0.2015180494748146
"frozenset({'pancakes', 'mineral water'})",frozenset({'spaghetti'}),0.03372883615517931,0.17411011865084655,0.011465137981602452,0.33992094861660077,1.9523331053392974,1.0,0.0055926063166692195,1.2511984430020109,0.5048192925714872,0.05838424983027834,0.2007662688576469,0.20288543602346118
"frozenset({'frozen vegetables', 'mineral water'})",frozenset({'spaghetti'}),0.03572856952406346,0.17411011865084655,0.011998400213304892,0.33582089552238803,1.9287844849260587,1.0,0.005777694734245183,1.2434746528178264,0.4993809238520976,0.060646900269541774,0.19580186235890762,0.20236680304450183
frozenset({'soup'}),frozenset({'mineral water'}),0.05052659645380616,0.23836821757099053,0.023063591521130515,0.45646437994722955,1.9149548735929356,1.0,0.01101965678450801,1.4012545900028865,0.5032205021321218,0.08676028084252758,0.2863538095543793,0.2766102660362546
"frozenset({'pancakes', 'spaghetti'})",frozenset({'mineral water'}),0.025196640447940274,0.23836821757099053,0.011465137981602452,0.455026455026455,1.908922505119373,1.0,0.005459059709249805,1.3975573483406096,0.4884516055162587,0.045478582760444204,0.28446585666960245,0.2515624445154646
frozenset({'herb & pepper'}),frozenset({'spaghetti'}),0.04946007199040128,0.17411011865084655,0.01626449806692441,0.32884097035040427,1.8886953434903389,1.0,0.007652999064196229,1.2305427549419112,0.4950175890373162,0.07845659163987137,0.18735046305058636,0.21112798900368607
"frozenset({'milk', 'mineral water'})",frozenset({'spaghetti'}),0.04799360085321957,0.17411011865084655,0.01573123583522197,0.3277777777777778,1.882588905904373,1.0,0.007375064296186541,1.2285965177094844,0.4924510881303716,0.07622739018087855,0.18606313335126895,0.2090649991492258
"frozenset({'milk', 'spaghetti'})",frozenset({'chocolate'}),0.03546193840821224,0.1638448206905746,0.010931875749900012,0.3082706766917293,1.8814795328435,1.0,0.005121620810066277,1.2087895526973216,0.48572825189205576,0.058032554847841464,0.1727261393279116,0.18749579400086872
"frozenset({'spaghetti', 'olive oil'})",frozenset({'mineral water'}),0.022930275963204905,0.23836821757099053,0.010265297960271964,0.4476744186046512,1.8780793142916603,1.0,0.004799448950511883,1.3789543850293646,0.4785135726601139,0.04089219330855019,0.2748128503331854,0.24536964778107279
"frozenset({'milk', 'spaghetti'})",frozenset({'mineral water'}),0.03546193840821224,0.23836821757099053,0.01573123583522197,0.44360902255639095,1.8610242048073202,1.0,0.0072782367852441705,1.3688787440953818,0.47967155892378155,0.06095041322314049,0.26947510558296667,0.2548022741417302
frozenset({'burgers'}),frozenset({'eggs'}),0.0871883748833489,0.17970937208372217,0.02879616051193174,0.33027522935779813,1.8378297443715457,1.0,0.013127592408644938,1.224817512916086,0.49942391639485245,0.1209406494960806,0.18355184388312104,0.24525630904091686
"frozenset({'chocolate', 'milk'})",frozenset({'mineral water'}),0.03212904946007199,0.23836821757099053,0.013998133582189041,0.43568464730290457,1.827779943746693,1.0,0.006339589330141486,1.3496563203337595,0.46792207792207796,0.05457380457380457,0.25907063529128077,0.24720473975883483
"frozenset({'spaghetti', 'ground beef'})",frozenset({'mineral water'}),0.03919477403012932,0.23836821757099053,0.017064391414478068,0.4353741496598639,1.8264773470909614,1.0,0.007721602990818394,1.3489141206875228,0.47095705564034956,0.06550665301944728,0.2586629610710028,0.2534812582751221
"frozenset({'chocolate', 'eggs'})",frozenset({'spaghetti'}),0.03319557392347687,0.17411011865084655,0.010531929076123183,0.3172690763052209,1.8222322675080107,1.0,0.004752243761623677,1.2096857673878776,0.4667154237678649,0.0535230352303523,0.17333903815423113,0.18887956112351395
frozenset({'salmon'}),frozenset({'spaghetti'}),0.04252766297826956,0.17411011865084655,0.013464871350486601,0.3166144200626959,1.8184722548930183,1.0,0.006060374903396873,1.2085269364696327,0.470079213435128,0.0662729658792651,0.1725463704423377,0.19697489762706005
frozenset({'grated cheese'}),frozenset({'spaghetti'}),0.0523930142647647,0.17411011865084655,0.01653112918277563,0.3155216284987277,1.8121958157495839,1.0,0.007408975252661952,1.2065974846476477,0.47296322181276895,0.07873015873015873,0.1712232018351827,0.20523401486192128
"frozenset({'frozen vegetables', 'spaghetti'})",frozenset({'mineral water'}),0.027862951606452472,0.23836821757099053,0.011998400213304892,0.43062200956937796,1.806541215760573,1.0,0.005356758102608049,1.3376558195601933,0.45925214847321266,0.04719454640797063,0.2524235417083676,0.2404787900195883
frozenset({'cooking oil'}),frozenset({'spaghetti'}),0.0510598586855086,0.17411011865084655,0.01586455139314758,0.31070496083550914,1.7845313255950643,1.0,0.006974513339118221,1.1981660021088096,0.46328399300152767,0.07579617834394904,0.1653911075427206,0.20091143907012823
"frozenset({'eggs', 'milk'})",frozenset({'mineral water'}),0.03079589388081589,0.23836821757099053,0.013064924676709772,0.42424242424242425,1.7797776421937497,1.0,0.005724162343834314,1.3228341484293324,0.4520534486146591,0.051015096304008335,0.24404733489277514,0.23952613382143584
frozenset({'olive oil'}),frozenset({'mineral water'}),0.0658578856152513,0.23836821757099053,0.027596320490601255,0.4190283400809717,1.7579035676439423,1.0,0.011897893683499625,1.3109620227175287,0.46153639321341183,0.09975903614457832,0.23720139663003123,0.2674000760807543
frozenset({'tomatoes'}),frozenset({'spaghetti'}),0.06839088121583789,0.17411011865084655,0.020930542594320756,0.3060428849902534,1.7577547322449394,1.0,0.009022998151195267,1.1901165986857183,0.46273958268770116,0.09446450060168471,0.15974619536915105,0.21312864004489698
frozenset({'ground beef'}),frozenset({'mineral water'}),0.09825356619117451,0.23836821757099053,0.040927876283162246,0.41655359565807326,1.7475215442008991,1.0,0.01750734884017864,1.305401450349256,0.4743694824294936,0.13841298467087468,0.2339521304098035,0.2941269096858599
frozenset({'turkey'}),frozenset({'eggs'}),0.06252499666711105,0.17970937208372217,0.01946407145713905,0.31130063965884863,1.7322448798820649,1.0,0.0082277435665557,1.1910721501323045,0.4509073978836475,0.08737283064033513,0.1604202987292416,0.20980462250004744
"frozenset({'chocolate', 'mineral water'})",frozenset({'spaghetti'}),0.05265964538061592,0.17411011865084655,0.01586455139314758,0.3012658227848101,1.7303177157035687,1.0,0.00669597428781704,1.1819800838149117,0.44553306827938044,0.0752212389380531,0.1539620559659178,0.19619187004477873
"frozenset({'french fries', 'mineral water'})",frozenset({'spaghetti'}),0.03372883615517931,0.17411011865084655,0.010131982402346354,0.30039525691699603,1.7253176279742628,1.0,0.004259450737413121,1.1805092654312759,0.4350710177762286,0.05124747134187457,0.15290796160361378,0.17929410625329129
"frozenset({'chocolate', 'eggs'})",frozenset({'mineral water'}),0.03319557392347687,0.23836821757099053,0.013464871350486601,0.40562248995983935,1.7016634771749188,1.0,0.005552101563101368,1.2813940123298875,0.4264975725371766,0.0521694214876033,0.21959991198822945,0.23105509285464004
"frozenset({'chocolate', 'spaghetti'})",frozenset({'mineral water'}),0.03919477403012932,0.23836821757099053,0.01586455139314758,0.40476190476190477,1.6980531586236285,1.0,0.006521762969487907,1.2795413944807361,0.4278601686269069,0.06062149770759043,0.21846998908087653,0.2356583573026526
frozenset({'salmon'}),frozenset({'mineral water'}),0.04252766297826956,0.23836821757099053,0.017064391414478068,0.4012539184952978,1.6833364891684726,1.0,0.006927148192888149,1.2720447046850996,0.42397225703146757,0.06467913087417888,0.21386410688486412,0.23642114269283904
frozenset({'cereals'}),frozenset({'mineral water'}),0.025729902679642713,0.23836821757099053,0.010265297960271964,0.3989637305699482,1.6737287153272828,1.0,0.004132106920250477,1.2671977069724039,0.41316223459080603,0.040441176470588244,0.21085715788643122,0.2210143037637213
frozenset({'cooking oil'}),frozenset({'mineral water'}),0.0510598586855086,0.23836821757099053,0.020130649246767097,0.3942558746736292,1.6539783646123563,1.0,0.007959601742475753,1.2573490201306492,0.41667240407213124,0.07475247524752475,0.2046758823607374,0.23935388811981237
"frozenset({'eggs', 'spaghetti'})",frozenset({'mineral water'}),0.036528462871617116,0.23836821757099053,0.014264764698040262,0.3905109489051095,1.6382676888910663,1.0,0.005557540112724784,1.2496234035062792,0.4043701643240756,0.05473145780051152,0.19975890560777637,0.2251771746762684
frozenset({'red wine'}),frozenset({'mineral water'}),0.028129582722303693,0.23836821757099053,0.010931875749900012,0.38862559241706157,1.6303582599107265,1.0,0.00422667725536875,1.2457698146707055,0.39782863260731377,0.04277516953573291,0.19728348831093626,0.21724344497810572
frozenset({'chicken'}),frozenset({'mineral water'}),0.05999200106652446,0.23836821757099053,0.022796960405279298,0.38000000000000006,1.5941722595078303,1.0,0.0084967740425349,1.2284383587564671,0.3965021758765089,0.08272859216255443,0.18595834062664107,0.23781879194630876
frozenset({'frozen vegetables'}),frozenset({'mineral water'}),0.09532062391681109,0.23836821757099053,0.03572856952406346,0.37482517482517486,1.57246288387228,1.0,0.013007162303258473,1.2182700770396908,0.4024132212500716,0.11991051454138703,0.1791639482519931,0.26235665900095434
frozenset({'milk'}),frozenset({'mineral water'}),0.12958272230369283,0.23836821757099053,0.04799360085321957,0.3703703703703704,1.5537741320739085,1.0,0.01710519830969167,1.209650477975486,0.4094654617858785,0.15,0.17331492178332722,0.2858563261247825
"frozenset({'french fries', 'spaghetti'})",frozenset({'mineral water'}),0.027596320490601255,0.23836821757099053,0.010131982402346354,0.36714975845410625,1.54026305266457,1.0,0.00355389667548393,1.2034944958992746,0.3607146465010896,0.03960396039603961,0.1690863536083058,0.20482767564763477
frozenset({'tomatoes'}),frozenset({'mineral water'}),0.06839088121583789,0.23836821757099053,0.024396747100386616,0.3567251461988304,1.4965298219448695,1.0,0.008094534646858002,1.1839912254123692,0.35614449125902026,0.08640226628895187,0.15539914609442093,0.2295370697437105
frozenset({'pancakes'}),frozenset({'mineral water'}),0.09505399280095987,0.23836821757099053,0.03372883615517931,0.3548387096774194,1.4886158620191963,1.0,0.011070985318208743,1.1805292627649648,0.36271227299512515,0.11254448398576512,0.15292231074572427,0.24816879555459337
frozenset({'avocado'}),frozenset({'mineral water'}),0.03332888948140248,0.23836821757099053,0.011598453539528063,0.348,1.4599261744966443,1.0,0.0036539055602256183,1.1681469055659655,0.3258955958512262,0.04459251665812403,0.14394328723962888,0.19832885906040268
frozenset({'herb & pepper'}),frozenset({'mineral water'}),0.04946007199040128,0.23836821757099053,0.017064391414478068,0.34501347708894875,1.447397142977743,1.0,0.00527468221319324,1.1628205402516978,0.325188464235624,0.06302314130969965,0.14002207100371164,0.20830092198966454
frozenset({'whole wheat rice'}),frozenset({'mineral water'}),0.058525529929342755,0.23836821757099053,0.020130649246767097,0.3439635535307517,1.4429925140012128,1.0,0.006180022995112005,1.1609595572442193,0.3260796990140309,0.07273603082851639,0.1386435524302763,0.2142077275483736
frozenset({'spaghetti'}),frozenset({'mineral water'}),0.17411011865084655,0.23836821757099053,0.05972536995067324,0.3430321592649311,1.4390851379453289,1.0,0.01822305130679728,1.1593136455154853,0.36943675775394913,0.16931216931216933,0.1374206593114385,0.29679572169063106
frozenset({'cake'}),frozenset({'mineral water'}),0.08105585921877083,0.23836821757099053,0.027463004932675644,0.33881578947368424,1.4213966649005065,1.0,0.0081418642470121,1.1519207057632783,0.32261658443418756,0.09406392694063927,0.13188469050273158,0.22701415871894504
frozenset({'grated cheese'}),frozenset({'mineral water'}),0.0523930142647647,0.23836821757099053,0.0174643380882549,0.3333333333333333,1.3983967188665174,1.0,0.004975508664791458,1.142447673643514,0.30064715813168263,0.06390243902439025,0.12468638777058169,0.20329977628635346
frozenset({'shrimp'}),frozenset({'mineral water'}),0.07145713904812692,0.23836821757099053,0.023596853752832957,0.3302238805970149,1.385351973354703,1.0,0.006563742885208515,1.1371438311474906,0.2995680582087191,0.08244061481136468,0.12060376831055641,0.21460858459380946
frozenset({'chocolate'}),frozenset({'mineral water'}),0.1638448206905746,0.23836821757099053,0.05265964538061592,0.3213995117982099,1.3483320682317521,1.0,0.013604247514365099,1.1223566673923893,0.30896530289330915,0.15064836003051105,0.10901763311716656,0.27115836887449646
frozenset({'frozen smoothie'}),frozenset({'mineral water'}),0.06332489001466471,0.23836821757099053,0.020263964804692707,0.32,1.342460850111857,1.0,0.0051693236440180645,1.1200467388661905,0.27234557358383155,0.0720037896731407,0.10718011552599337,0.20250559284116332
frozenset({'honey'}),frozenset({'mineral water'}),0.047460338621517134,0.23836821757099053,0.015064658045593921,0.31741573033707865,1.3316193474599705,1.0,0.00375162172306724,1.1158062326943514,0.26144280609622417,0.05563761693746922,0.10378704590555347,0.19030741774124627
frozenset({'low fat yogurt'}),frozenset({'mineral water'}),0.07652313024930009,0.23836821757099053,0.023996800426609784,0.313588850174216,1.315564857470243,1.0,0.005756118266131375,1.1095853886148515,0.25974688417304276,0.08249312557286893,0.09876246545716685,0.20712999555690664
frozenset({'fresh bread'}),frozenset({'mineral water'}),0.043060925209972005,0.23836821757099053,0.013331555792560993,0.30959752321981426,1.2988204819193663,1.0,0.003067199803302235,1.1031706983164578,0.24042351629980502,0.049726504226752864,0.09352197123609782,0.18276296742646195
frozenset({'turkey'}),frozenset({'mineral water'}),0.06252499666711105,0.23836821757099053,0.019197440341287828,0.3070362473347548,1.288075442538029,1.0,0.004293468332116444,1.0990932491052476,0.2385641827834661,0.06814955040227166,0.09015909176579659,0.19378658004321633
