support,itemsets
0.23836821757099053,frozenset({'mineral water'})
0.17970937208372217,frozenset({'eggs'})
0.17411011865084655,frozenset({'spaghetti'})
0.1709105452606319,frozenset({'french fries'})
0.1638448206905746,frozenset({'chocolate'})
0.13211571790427942,frozenset({'green tea'})
0.12958272230369283,frozenset({'milk'})
0.09825356619117451,frozenset({'ground beef'})
0.09532062391681109,frozenset({'frozen vegetables'})
0.09505399280095987,frozenset({'pancakes'})
0.0871883748833489,frozenset({'burgers'})
0.08105585921877083,frozenset({'cake'})
0.08038928142914278,frozenset({'cookies'})
0.0793227569657379,frozenset({'escalope'})
0.07652313024930009,frozenset({'low fat yogurt'})
0.07145713904812692,frozenset({'shrimp'})
0.06839088121583789,frozenset({'tomatoes'})
0.0658578856152513,frozenset({'olive oil'})
0.06332489001466471,frozenset({'frozen smoothie'})
0.06252499666711105,frozenset({'turkey'})
0.05999200106652446,frozenset({'chicken'})
0.05972536995067324,"frozenset({'spaghetti', 'mineral water'})"
0.058525529929342755,frozenset({'whole wheat rice'})
0.05265964538061592,"frozenset({'chocolate', 'mineral water'})"
0.0523930142647647,frozenset({'grated cheese'})
0.0510598586855086,frozenset({'cooking oil'})
0.05092654312758299,"frozenset({'eggs', 'mineral water'})"
0.05052659645380616,frozenset({'soup'})
0.04946007199040128,frozenset({'herb & pepper'})
0.04799360085321957,"frozenset({'milk', 'mineral water'})"
0.047460338621517134,frozenset({'honey'})
0.04679376083188908,frozenset({'champagne'})
0.043060925209972005,frozenset({'fresh bread'})
0.04252766297826956,frozenset({'salmon'})
0.040927876283162246,"frozenset({'ground beef', 'mineral water'})"
0.03919477403012932,"frozenset({'ground beef', 'spaghetti'})"
0.03919477403012932,"frozenset({'chocolate', 'spaghetti'})"
0.036528462871617116,"frozenset({'eggs', 'spaghetti'})"
0.036395147313691506,"frozenset({'eggs', 'french fries'})"
0.03572856952406346,"frozenset({'frozen vegetables', 'mineral water'})"
0.03546193840821224,"frozenset({'milk', 'spaghetti'})"
0.03439541394480736,"frozenset({'chocolate', 'french fries'})"
0.03372883615517931,"frozenset({'french fries', 'mineral water'})"
0.03372883615517931,"frozenset({'pancakes', 'mineral water'})"
0.03372883615517931,frozenset({'brownies'})
0.03332888948140248,frozenset({'avocado'})
0.03319557392347687,"frozenset({'chocolate', 'eggs'})"
0.03239568057592321,frozenset({'hot dogs'})
0.03212904946007199,"frozenset({'chocolate', 'milk'})"
0.03186241834422077,frozenset({'cottage cheese'})
0.03106252499666711,"frozenset({'green tea', 'mineral water'})"
0.03079589388081589,"frozenset({'milk', 'eggs'})"
0.030395947207039063,frozenset({'tomato juice'})
0.030129316091187842,frozenset({'butter'})
0.029462738301559793,frozenset({'whole wheat pasta'})
0.02879616051193174,"frozenset({'burgers', 'eggs'})"
0.028529529396080524,"frozenset({'green tea', 'french fries'})"
0.028129582722303693,frozenset({'red wine'})
0.027862951606452472,"frozenset({'frozen vegetables', 'spaghetti'})"
0.027596320490601255,"frozenset({'olive oil', 'mineral water'})"
0.027596320490601255,"frozenset({'french fries', 'spaghetti'})"
0.027463004932675644,"frozenset({'cake', 'mineral water'})"
